"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set2","correct","wood","group1","i",550,"1_-7",74,"session1_learning","21x21"
"set2","correct","wood","group1","i",602,"3_-9",34,"session1_learning","21x21"
"set2","correct","wood","group1","i",504,"-1_-1",198,"session1_learning","21x21"
"set2","correct","wood","group1","i",468,"7_-3",164,"session1_learning","21x21"
"set1","correct","wood","group2","e",519,"7_7",374,"session1_learning","21x21"
"set1","correct","wood","group2","e",414,"-1_3",282,"session1_learning","21x21"
"set1","correct","wood","group2","e",762,"3_1",244,"session1_learning","21x21"
"set2","correct","wood","group1","i",652,"-3_-1",196,"session1_learning","21x21"
"set2","correct","wood","group1","i",658,"-1_-5",114,"session1_learning","21x21"
"set2","correct","wood","group1","i",750,"7_-1",206,"session1_learning","21x21"
"set2","correct","wood","group1","i",527,"-1_-9",30,"session1_learning","21x21"
"set1","correct","wood","group2","e",487,"5_5",330,"session1_learning","21x21"
"set1","correct","wood","group2","e",686,"-7_1",234,"session1_learning","21x21"
"set1","correct","wood","group2","e",475,"-5_5",320,"session1_learning","21x21"
"set1","correct","wood","group2","e",405,"-1_7",366,"session1_learning","21x21"
"set2","correct","wood","group1","i",486,"5_-3",162,"session1_learning","21x21"
"set2","correct","wood","group1","i",930,"-1_-3",156,"session1_learning","21x21"
"set2","correct","wood","group1","i",546,"-7_-7",66,"session1_learning","21x21"
"set2","correct","wood","group1","i",508,"-3_-7",70,"session1_learning","21x21"
"set1","correct","wood","group2","e",446,"3_7",370,"session1_learning","21x21"
"set2","correct","wood","group1","i",499,"3_-5",118,"session1_learning","21x21"
"set2","correct","wood","group1","i",512,"9_-3",166,"session1_learning","21x21"
"set1","correct","wood","group2","e",446,"7_5",332,"session1_learning","21x21"
"set2","correct","wood","group1","i",703,"3_-1",202,"session1_learning","21x21"
"set2","correct","wood","group1","i",586,"-5_-5",110,"session1_learning","21x21"
"set2","correct","wood","group1","i",472,"-3_-9",28,"session1_learning","21x21"
"set1","correct","wood","group2","e",916,"5_1",246,"session1_learning","21x21"
"set1","correct","wood","group2","e",512,"3_3",286,"session1_learning","21x21"
"set2","correct","wood","group1","i",459,"-7_-3",150,"session1_learning","21x21"
"set1","correct","wood","group2","e",618,"9_1",250,"session1_learning","21x21"
"set1","correct","wood","group2","e",512,"1_9",410,"session1_learning","21x21"
"set1","wrong","wood","group2","i",467,"1_1",242,"session1_learning","21x21"
"set2","correct","wood","group1","i",704,"1_-5",116,"session1_learning","21x21"
"set2","correct","wood","group1","i",455,"3_-3",160,"session1_learning","21x21"
"set2","correct","wood","group1","i",476,"5_-1",204,"session1_learning","21x21"
"set1","correct","wood","group2","e",429,"-5_7",362,"session1_learning","21x21"
"set2","correct","wood","group1","i",517,"-3_-3",154,"session1_learning","21x21"
"set2","correct","wood","group1","i",532,"5_-5",120,"session1_learning","21x21"
"set2","correct","wood","group1","i",453,"-9_-3",148,"session1_learning","21x21"
"set2","correct","wood","group1","i",536,"-5_-1",194,"session1_learning","21x21"
"set1","correct","wood","group2","e",477,"1_7",368,"session1_learning","21x21"
"set2","correct","wood","group1","i",390,"-5_-7",68,"session1_learning","21x21"
